iter	MultiClass
0	1.076387261
1	1.056015517
2	1.036638836
3	1.019621155
4	1.002769229
5	0.9872094749
6	0.9727343515
7	0.9589190807
8	0.9457275301
9	0.9340848073
10	0.9227979972
11	0.9121138033
12	0.9018297859
13	0.8921854502
14	0.8824083541
15	0.8735940414
16	0.8652178967
17	0.8572925095
18	0.8493962271
19	0.8423334909
20	0.8351388411
21	0.8283526984
22	0.8218879104
23	0.8156787494
24	0.8101384053
25	0.8044718408
26	0.7991535258
27	0.7940351229
28	0.7892209569
29	0.7846356048
30	0.7802222937
31	0.7759583626
32	0.7719058405
33	0.7681180221
34	0.7645695815
35	0.7605828971
36	0.7571940777
37	0.7539618603
38	0.7506364523
39	0.7474216588
40	0.7447367838
41	0.7418391626
42	0.7391883575
43	0.7366868804
44	0.7342734675
45	0.7319161801
46	0.7297588832
47	0.7277405556
48	0.7255943529
49	0.7232343538
50	0.7211625804
51	0.7190808928
52	0.7172181621
53	0.7152887813
54	0.7135700753
55	0.7118846019
56	0.7103177236
57	0.7086147009
58	0.7071526334
59	0.7054741508
60	0.7039844699
61	0.7025171303
62	0.7012574237
63	0.6997652021
64	0.6983269831
65	0.6971330071
66	0.6959472169
67	0.6944846578
68	0.6929662698
69	0.6918597501
70	0.6902417489
71	0.6890748751
72	0.6880229015
73	0.6865074935
74	0.6853218512
75	0.6842764912
76	0.6829965379
77	0.6821876075
78	0.6810945087
79	0.680315346
80	0.679352221
81	0.6781842075
82	0.677118949
83	0.6759382493
84	0.6752546922
85	0.6743780767
86	0.6732575964
87	0.6722728362
88	0.671384507
89	0.6705701034
90	0.669869615
91	0.6690245147
92	0.6681605287
93	0.6671908639
94	0.6665553084
95	0.6657495966
96	0.66485403
97	0.6642886452
98	0.6638452907
99	0.6630705333
100	0.6624510954
101	0.6617284767
102	0.6611223618
103	0.660301522
104	0.6596946133
105	0.6589227521
106	0.6583094366
107	0.6573405484
108	0.6568213438
109	0.6560669971
110	0.6557023238
111	0.6549516045
112	0.6544409201
113	0.6538307717
114	0.653258596
115	0.6528092759
116	0.6520935791
117	0.6515386637
118	0.6511502119
119	0.6504393625
120	0.6499988061
121	0.649136463
122	0.6486526789
123	0.6482461534
124	0.6476154528
125	0.6472064116
126	0.6466969713
127	0.6464254498
128	0.645788779
129	0.645430417
130	0.6448386713
131	0.6444011433
132	0.6440271985
133	0.6434725769
134	0.6428127339
135	0.6424317263
136	0.6418537524
137	0.6414459682
138	0.6410283176
139	0.6405424456
140	0.6401484907
141	0.6396430249
142	0.6393941675
143	0.6387005166
144	0.6382697225
145	0.6379178379
146	0.6376443174
147	0.6372713049
148	0.6370624953
149	0.6366230066
150	0.6361392109
151	0.6355654083
152	0.6350322281
153	0.6347365162
154	0.6344438266
155	0.6339865113
156	0.6337431119
157	0.6332463405
158	0.6330384054
159	0.6326972562
160	0.6324367256
161	0.6321296249
162	0.6319584455
163	0.6317415696
164	0.6313942657
165	0.6312303372
166	0.6309212749
167	0.6307189849
168	0.6304237161
169	0.6302168285
170	0.6300153337
171	0.6297328192
172	0.6292430773
173	0.6288716135
174	0.6284093859
175	0.6281617582
176	0.6279099599
177	0.6275659437
178	0.6271553035
179	0.6268392927
180	0.6266018383
181	0.6262434597
182	0.6258970131
183	0.6256228158
184	0.6253465099
185	0.6250192313
186	0.6248326218
187	0.624511232
188	0.6242451467
189	0.6238036105
190	0.6235706807
191	0.6233797228
192	0.6229084215
193	0.6226710738
194	0.6224272053
195	0.6221779467
196	0.622015896
197	0.621659245
198	0.6215306849
199	0.6211454348
200	0.6208341797
201	0.6204884284
202	0.6201749476
203	0.6199738795
204	0.6197755314
205	0.6195908887
206	0.6192390079
207	0.6190896125
208	0.6189361169
209	0.6187694812
210	0.6185432583
211	0.6181902136
212	0.6178991537
213	0.6177158388
214	0.6174963284
215	0.6169697689
216	0.6167302883
217	0.6165152972
218	0.6163521681
219	0.6162002437
220	0.6159605957
221	0.61574833
222	0.6151356738
223	0.6149936672
224	0.6148933466
225	0.6143341646
226	0.6141047438
227	0.6139361822
228	0.6136192722
229	0.6134710232
230	0.6131963851
231	0.6128991278
232	0.6126519344
233	0.6123861084
234	0.6121531543
235	0.6120409493
236	0.6119241032
237	0.6115490737
238	0.6112683707
239	0.6110877864
240	0.6108954464
241	0.610798767
242	0.6106059973
243	0.6103467579
