iter	Passed	Remaining
0	71	71569
1	149	74772
2	227	75566
3	301	74993
4	383	76290
5	458	75895
6	537	76247
7	615	76316
8	688	75771
9	763	75635
10	835	75145
11	912	75156
12	987	74949
13	1073	75619
14	1164	76489
15	1241	76322
16	1309	75695
17	1379	75279
18	1452	74971
19	1528	74879
20	1613	75200
21	1698	75512
22	1773	75327
23	1847	75112
24	1917	74778
25	1993	74665
26	2082	75049
27	2157	74882
28	2237	74914
29	2315	74854
30	2396	74908
31	2477	74953
32	2579	75580
33	2675	76026
34	2768	76340
35	2850	76339
36	2923	76082
37	3005	76081
38	3080	75904
39	3165	75973
40	3254	76132
41	3333	76034
42	3414	75983
43	3484	75711
44	3554	75438
45	3631	75319
46	3707	75174
47	3778	74948
48	3853	74788
49	3928	74646
50	4002	74477
51	4076	74324
52	4150	74160
53	4219	73922
54	4286	73641
55	4354	73402
56	4422	73171
57	4498	73063
58	4580	73062
59	4657	72964
60	4736	72903
61	4815	72860
62	4888	72711
63	4963	72586
64	5044	72558
65	5125	72531
66	5199	72400
67	5266	72180
68	5337	72019
69	5410	71879
70	5478	71689
71	5549	71526
72	5625	71439
73	5695	71269
74	5764	71101
75	5831	70897
76	5899	70717
77	5969	70562
78	6045	70484
79	6145	70672
80	6240	70798
81	6316	70715
82	6386	70554
83	6461	70458
84	6534	70338
85	6627	70439
86	6727	70598
87	6818	70661
88	6892	70551
89	6961	70388
90	7029	70219
91	7101	70092
92	7173	69964
93	7245	69833
94	7320	69737
95	7393	69626
96	7465	69499
97	7558	69567
98	7654	69664
99	7744	69698
100	7831	69706
101	7904	69590
102	7983	69527
103	8059	69431
104	8143	69417
105	8232	69432
106	8308	69341
107	8387	69271
108	8467	69218
109	8540	69103
110	8623	69062
111	8693	68929
112	8766	68812
113	8836	68673
114	8906	68541
115	8975	68397
116	9045	68264
117	9121	68176
118	9190	68042
119	9262	67922
120	9329	67776
121	9402	67667
122	9470	67523
123	9549	67463
124	9640	67485
125	9725	67457
126	9805	67401
127	9888	67362
128	9971	67329
129	10052	67273
130	10141	67276
131	10216	67183
132	10284	67041
133	10360	66954
134	10431	66841
135	10501	66713
136	10574	66614
137	10648	66514
138	10717	66389
139	10785	66252
140	10852	66117
141	10921	65993
142	10989	65862
143	11058	65734
144	11135	65663
145	11204	65537
146	11270	65397
147	11337	65267
148	11404	65133
149	11472	65012
150	11541	64891
151	11615	64803
152	11684	64682
153	11753	64566
154	11819	64432
155	11886	64308
156	11955	64193
157	12021	64062
158	12093	63963
159	12164	63865
160	12234	63758
161	12310	63678
162	12381	63579
163	12456	63496
164	12545	63486
165	12642	63516
166	12729	63492
167	12818	63479
168	12891	63391
169	12964	63297
170	13048	63257
171	13132	63219
172	13215	63172
173	13299	63135
174	13374	63051
175	13454	62991
176	13523	62880
177	13598	62798
178	13672	62708
179	13745	62617
180	13813	62503
181	13886	62411
182	13954	62299
183	14025	62199
184	14100	62118
185	14174	62033
186	14241	61916
187	14309	61803
188	14378	61698
189	14448	61594
190	14516	61485
191	14591	61404
192	14693	61438
193	14777	61396
194	14853	61318
195	14934	61261
196	15011	61190
197	15101	61167
198	15195	61163
199	15286	61147
200	15362	61065
201	15458	61068
202	15536	60997
203	15618	60942
204	15695	60866
205	15771	60788
206	15839	60678
207	15911	60584
208	16016	60616
209	16104	60581
210	16181	60508
211	16263	60449
212	16330	60338
213	16401	60239
214	16473	60148
215	16545	60052
216	16612	59943
217	16683	59845
218	16760	59770
219	16841	59710
220	16916	59628
221	16987	59532
222	17056	59429
223	17124	59324
224	17195	59228
225	17268	59142
226	17346	59068
227	17415	58969
228	17507	58943
229	17591	58894
230	17694	58904
231	17804	58938
232	17902	58931
233	17979	58857
234	18060	58792
235	18136	58713
236	18210	58628
237	18295	58576
238	18386	58543
239	18467	58479
240	18553	58432
241	18640	58385
242	18723	58326
243	18801	58254
244	18874	58163
245	18949	58082
246	19020	57985
247	19090	57888
248	19162	57795
249	19238	57715
250	19323	57661
251	19411	57616
252	19488	57540
253	19558	57443
